category_code,data_type_code,cell_value,program_code,seasonally_adj,time_slot_date,time_slot_id,time_slot_name,time
00XX,P,399,VIP,no,2019-01-01,829,Jan2019,2019-01
00XX,V,34010,VIP,no,2019-01-01,829,Jan2019,2019-01
00XX,T,34409,VIP,no,2019-01-01,829,Jan2019,2019-01
00XX,E_P,3.7,VIP,no,2019-01-01,829,Jan2019,2019-01
00XX,E_MPCT,5.3,VIP,no,2019-01-01,829,Jan2019,2019-01
00XX,E_MPCV,0.8,VIP,no,2019-01-01,829,Jan2019,2019-01
00XX,E_MPCP,5.3,VIP,no,2019-01-01,829,Jan2019,2019-01
00XX,E_T,3.7,VIP,no,2019-01-01,829,Jan2019,2019-01
00XX,E_V,5.0,VIP,no,2019-01-01,829,Jan2019,2019-01
00XX,MPCT,-0.6,VIP,yes,2019-01-01,829,Jan2019,2019-01
00XX,MPCP,3.1,VIP,yes,2019-01-01,829,Jan2019,2019-01
00XX,MPCV,-0.6,VIP,yes,2019-01-01,829,Jan2019,2019-01
01XX,V,2495,VIP,no,2019-01-01,829,Jan2019,2019-01
01XX,T,2572,VIP,no,2019-01-01,829,Jan2019,2019-01
01XX,E_MPCT,1.3,VIP,no,2019-01-01,829,Jan2019,2019-01
01XX,E_MPCV,1.3,VIP,no,2019-01-01,829,Jan2019,2019-01
01XX,E_T,1.8,VIP,no,2019-01-01,829,Jan2019,2019-01
01XX,E_V,1.7,VIP,no,2019-01-01,829,Jan2019,2019-01
01XX,MPCT,3.3,VIP,yes,2019-01-01,829,Jan2019,2019-01
01XX,MPCV,3.3,VIP,yes,2019-01-01,829,Jan2019,2019-01
02XX,T,5932,VIP,no,2019-01-01,829,Jan2019,2019-01
02XX,P,701,VIP,no,2019-01-01,829,Jan2019,2019-01
02XX,V,5231,VIP,no,2019-01-01,829,Jan2019,2019-01
02XX,E_P,3.8,VIP,no,2019-01-01,829,Jan2019,2019-01
02XX,E_MPCT,0.8,VIP,no,2019-01-01,829,Jan2019,2019-01
02XX,E_MPCV,0.9,VIP,no,2019-01-01,829,Jan2019,2019-01
02XX,E_MPCP,1.3,VIP,no,2019-01-01,829,Jan2019,2019-01
02XX,E_T,2.0,VIP,no,2019-01-01,829,Jan2019,2019-01
02XX,E_V,2.2,VIP,no,2019-01-01,829,Jan2019,2019-01
02XX,MPCT,3.4,VIP,yes,2019-01-01,829,Jan2019,2019-01
02XX,MPCP,-2.6,VIP,yes,2019-01-01,829,Jan2019,2019-01
02XX,MPCV,4.3,VIP,yes,2019-01-01,829,Jan2019,2019-01
03XX,T,6142,VIP,no,2019-01-01,829,Jan2019,2019-01
03XX,V,5843,VIP,no,2019-01-01,829,Jan2019,2019-01
03XX,P,299,VIP,no,2019-01-01,829,Jan2019,2019-01
03XX,E_P,6.3,VIP,no,2019-01-01,829,Jan2019,2019-01
03XX,E_MPCT,1.1,VIP,no,2019-01-01,829,Jan2019,2019-01
03XX,E_MPCV,1.1,VIP,no,2019-01-01,829,Jan2019,2019-01
03XX,E_MPCP,5.2,VIP,no,2019-01-01,829,Jan2019,2019-01
03XX,E_T,2.0,VIP,no,2019-01-01,829,Jan2019,2019-01
03XX,E_V,2.0,VIP,no,2019-01-01,829,Jan2019,2019-01
03XX,MPCT,-2.4,VIP,yes,2019-01-01,829,Jan2019,2019-01
03XX,MPCP,-0.2,VIP,yes,2019-01-01,829,Jan2019,2019-01
03XX,MPCV,-2.5,VIP,yes,2019-01-01,829,Jan2019,2019-01
04XX,T,3491,VIP,no,2019-01-01,829,Jan2019,2019-01
04XX,V,2822,VIP,no,2019-01-01,829,Jan2019,2019-01
04XX,P,669,VIP,no,2019-01-01,829,Jan2019,2019-01
04XX,E_P,2.5,VIP,no,2019-01-01,829,Jan2019,2019-01
04XX,E_MPCT,0.8,VIP,no,2019-01-01,829,Jan2019,2019-01
04XX,E_MPCV,0.9,VIP,no,2019-01-01,829,Jan2019,2019-01
04XX,E_MPCP,2.1,VIP,no,2019-01-01,829,Jan2019,2019-01
04XX,E_T,1.7,VIP,no,2019-01-01,829,Jan2019,2019-01
04XX,E_V,2.1,VIP,no,2019-01-01,829,Jan2019,2019-01
04XX,MPCV,9.8,VIP,yes,2019-01-01,829,Jan2019,2019-01
04XX,MPCT,7.9,VIP,yes,2019-01-01,829,Jan2019,2019-01
04XX,MPCP,0.4,VIP,yes,2019-01-01,829,Jan2019,2019-01
05XX,T,6761,VIP,no,2019-01-01,829,Jan2019,2019-01
